q,seq_len,p_clean,p_clean_ablate_top_head,p_corrupt,p_corrupt_restore_top_head
108,370,0.6894267797470093,0.11721500009298325,0.0016786125488579273,0.07132633775472641
109,257,0.8809043169021606,0.5797565579414368,0.14642390608787537,0.6748037338256836
111,353,0.48300981521606445,0.07788137346506119,0.0016074450686573982,0.03422536328434944
112,307,0.7211390137672424,0.14766833186149597,0.0011537870159372687,0.09968496859073639
113,318,0.6802960634231567,0.32329797744750977,0.07226036489009857,0.39911311864852905
115,244,0.4826442301273346,0.128264918923378,0.0024584352504462004,0.02089032344520092
118,337,0.8693305850028992,0.5307395458221436,0.11913764476776123,0.6229877471923828
119,305,0.6887498497962952,0.21721971035003662,0.005697822663933039,0.07514261454343796
121,379,0.925939679145813,0.5116909742355347,5.525063170352951e-05,0.0038277162238955498
122,259,0.9333852529525757,0.7651240229606628,0.03642304986715317,0.26013967394828796
123,293,0.9296132922172546,0.711639940738678,0.025807620957493782,0.3063604533672333
126,297,0.6737774014472961,0.34334832429885864,0.06432107836008072,0.3357844948768616
129,247,0.8607001304626465,0.5233520269393921,0.028676817193627357,0.2945464253425598
131,391,0.9910792708396912,0.9660605788230896,0.1407865583896637,0.7189595103263855
133,289,0.5200315713882446,0.1341809630393982,0.13995498418807983,0.5793465375900269
134,317,0.6855414509773254,0.2493516355752945,0.04373643174767494,0.3763198256492615
136,259,0.7862110733985901,0.3367144763469696,0.02803245559334755,0.26366889476776123
137,294,0.7202936410903931,0.15847094357013702,0.011345833539962769,0.2777599096298218
138,297,0.8675681352615356,0.61195969581604,0.17361359298229218,0.5808634757995605
139,233,0.4542219936847687,0.10922098159790039,0.04015984758734703,0.23265057802200317
140,253,0.8869062066078186,0.6392704248428345,0.08574814349412918,0.39012205600738525
141,262,0.9842579364776611,0.9412155747413635,0.17725643515586853,0.7764528393745422
142,370,0.9814178943634033,0.9089955687522888,0.2546846568584442,0.8460884094238281
143,327,0.9193491339683533,0.7413827776908875,0.08828247338533401,0.42318040132522583
144,305,0.9114347100257874,0.5400597453117371,0.00030855732620693743,0.024271594360470772
146,235,0.7347971796989441,0.42946672439575195,0.0941825658082962,0.3557940125465393
148,324,0.47927749156951904,0.14723747968673706,0.025284621864557266,0.16338349878787994
149,367,0.9553557634353638,0.7460298538208008,0.16868436336517334,0.7651137709617615
150,343,0.6324532628059387,0.18557049334049225,0.0013818086590617895,0.03958559408783913
151,246,0.5643704533576965,0.1481928676366806,0.0027832812629640102,0.029623311012983322
152,295,0.8365582227706909,0.5920003056526184,0.09405852109193802,0.45472124218940735
153,386,0.9888455867767334,0.9706410765647888,0.11785458773374557,0.4698003828525543
155,285,0.48548418283462524,0.1483096480369568,0.005641718860715628,0.06455066055059433
156,224,0.8655368685722351,0.554711103439331,0.03903503715991974,0.2625127136707306
157,230,0.9338001012802124,0.7661637663841248,0.10131100565195084,0.5711297988891602
158,265,0.7290080189704895,0.2825906574726105,0.0015621371567249298,0.02417355589568615
161,363,0.8145121932029724,0.284618079662323,0.008690975606441498,0.14448386430740356
162,267,0.8262129426002502,0.5388414859771729,0.007332689594477415,0.10054080933332443
163,242,0.6639883518218994,0.22013810276985168,0.0075196195393800735,0.11063624173402786
164,262,0.8914616107940674,0.5185962915420532,0.007089647930115461,0.17752067744731903
